"STATION","NAME","DATE","HLY-DEWP-NORMAL","HLY-TEMP-NORMAL"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T08:00:00","13.3","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T09:00:00","14.2","21.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T10:00:00","15.1","24.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T11:00:00","15.6","26.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T12:00:00","15.9","28.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T13:00:00","16.1","29.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T14:00:00","16.1","30.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T15:00:00","16.1","30.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T16:00:00","15.9","29.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T17:00:00","15.7","27.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T18:00:00","15.7","26.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T19:00:00","15.6","25.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T20:00:00","15.3","24.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T21:00:00","15.0","23.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T22:00:00","14.8","22.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T23:00:00","14.4","21.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T00:00:00","13.3","20.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T01:00:00","14.0","20.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T02:00:00","13.9","20.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T03:00:00","13.8","20.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T04:00:00","13.7","19.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T05:00:00","13.5","19.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T06:00:00","13.2","19.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T07:00:00","13.0","19.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T08:00:00","13.1","19.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T09:00:00","14.0","21.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T10:00:00","14.9","23.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T11:00:00","15.4","26.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T12:00:00","15.8","27.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T13:00:00","16.0","29.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T14:00:00","16.0","29.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T15:00:00","16.0","29.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T16:00:00","15.9","29.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T17:00:00","15.6","27.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T18:00:00","15.6","26.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T19:00:00","15.5","24.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T20:00:00","15.2","24.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T21:00:00","14.9","23.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T22:00:00","14.5","22.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-04T23:00:00","14.2","21.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T00:00:00","13.2","20.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T01:00:00","13.8","20.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T02:00:00","13.7","20.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T03:00:00","13.6","20.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T04:00:00","13.5","19.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T05:00:00","13.3","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T06:00:00","13.0","19.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T07:00:00","12.8","18.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T08:00:00","12.9","19.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T09:00:00","13.7","21.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T10:00:00","14.6","23.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T11:00:00","15.1","25.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T12:00:00","15.5","27.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T13:00:00","15.7","28.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T14:00:00","15.7","29.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T15:00:00","15.7","29.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T16:00:00","15.6","28.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T17:00:00","15.4","27.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T18:00:00","15.4","25.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T19:00:00","15.2","24.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T20:00:00","14.8","23.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T21:00:00","14.5","22.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T22:00:00","14.2","22.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-05T23:00:00","13.9","21.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T00:00:00","12.8","20.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T01:00:00","13.5","20.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T02:00:00","13.4","20.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T03:00:00","13.3","19.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T04:00:00","13.2","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T05:00:00","13.1","19.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T06:00:00","12.8","18.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T07:00:00","12.6","18.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T08:00:00","12.7","18.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T09:00:00","13.6","20.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T10:00:00","14.6","23.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T11:00:00","15.1","25.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T12:00:00","15.4","27.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T13:00:00","15.6","28.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T14:00:00","15.7","29.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T15:00:00","15.7","29.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T16:00:00","15.5","28.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T17:00:00","15.3","27.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T18:00:00","15.2","25.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T19:00:00","15.0","24.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T20:00:00","14.5","23.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T21:00:00","14.1","22.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T22:00:00","13.8","21.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-06T23:00:00","13.5","21.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T00:00:00","12.3","19.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T01:00:00","13.1","19.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T02:00:00","13.0","19.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T03:00:00","12.8","19.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T04:00:00","12.7","18.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T05:00:00","12.5","18.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T06:00:00","12.2","18.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T07:00:00","12.0","18.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T08:00:00","12.2","18.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T09:00:00","13.1","20.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T10:00:00","14.1","22.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T11:00:00","14.6","25.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T12:00:00","15.1","26.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T13:00:00","15.3","28.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T14:00:00","15.4","29.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T15:00:00","15.5","29.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T16:00:00","15.4","28.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T17:00:00","15.2","26.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T18:00:00","15.1","25.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T19:00:00","14.8","24.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T20:00:00","14.4","23.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T21:00:00","14.0","22.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T22:00:00","13.7","21.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-07T23:00:00","13.4","20.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T00:00:00","12.1","19.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T01:00:00","13.0","19.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T02:00:00","12.9","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T03:00:00","12.7","19.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T04:00:00","12.5","18.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T05:00:00","12.4","18.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T06:00:00","12.1","18.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T07:00:00","11.9","18.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T08:00:00","12.0","18.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T09:00:00","12.9","20.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T10:00:00","13.9","22.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T11:00:00","14.3","24.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T12:00:00","14.8","26.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T13:00:00","15.0","27.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T14:00:00","15.1","28.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T15:00:00","15.2","28.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T16:00:00","15.0","28.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T17:00:00","14.8","26.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T18:00:00","14.7","25.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T19:00:00","14.4","23.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T20:00:00","14.0","22.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T21:00:00","13.6","21.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T22:00:00","13.2","21.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-08T23:00:00","12.9","20.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T00:00:00","11.7","19.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T01:00:00","12.6","19.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T02:00:00","12.4","19.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T03:00:00","12.1","18.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T04:00:00","12.0","18.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T05:00:00","11.7","17.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T06:00:00","11.5","17.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T07:00:00","11.2","17.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T08:00:00","11.3","17.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T09:00:00","12.4","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T10:00:00","13.4","22.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T11:00:00","13.9","24.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T12:00:00","14.5","26.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T13:00:00","14.7","27.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T14:00:00","14.9","28.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T15:00:00","15.0","28.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T16:00:00","14.8","27.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T17:00:00","14.6","26.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T18:00:00","14.5","24.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T19:00:00","14.1","23.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T20:00:00","13.7","22.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T21:00:00","13.3","21.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T22:00:00","12.9","20.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-09T23:00:00","12.6","20.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T00:00:00","11.5","18.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T01:00:00","12.2","19.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T02:00:00","12.0","18.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T03:00:00","11.6","18.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T04:00:00","11.4","17.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T05:00:00","11.1","17.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T06:00:00","10.8","17.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T07:00:00","10.5","16.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T08:00:00","10.6","17.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T09:00:00","11.8","19.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T10:00:00","12.9","21.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T11:00:00","13.5","23.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T12:00:00","14.1","25.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T13:00:00","14.4","27.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T14:00:00","14.5","28.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T15:00:00","14.7","28.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T16:00:00","14.5","27.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T17:00:00","14.4","26.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T18:00:00","14.3","24.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T19:00:00","14.0","23.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T20:00:00","13.6","22.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T21:00:00","13.2","21.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T22:00:00","12.9","20.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-10T23:00:00","12.5","20.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T00:00:00","11.4","18.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T01:00:00","12.0","18.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T02:00:00","11.8","18.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T03:00:00","11.4","17.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T04:00:00","11.2","17.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T05:00:00","10.9","17.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T06:00:00","10.6","16.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T07:00:00","10.3","16.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T08:00:00","10.4","16.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T09:00:00","11.6","18.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T10:00:00","12.7","21.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T11:00:00","13.3","23.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T12:00:00","13.9","25.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T13:00:00","14.2","27.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T14:00:00","14.4","27.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T15:00:00","14.6","28.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T16:00:00","14.4","27.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T17:00:00","14.2","25.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T18:00:00","14.2","24.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T19:00:00","13.8","23.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T20:00:00","13.4","22.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T21:00:00","13.0","21.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T22:00:00","12.6","20.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-11T23:00:00","12.3","19.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T00:00:00","11.0","18.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T01:00:00","11.7","18.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T02:00:00","11.4","18.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T03:00:00","11.1","17.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T04:00:00","10.8","17.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T05:00:00","10.5","16.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T06:00:00","10.4","16.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T07:00:00","10.1","16.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T08:00:00","10.2","16.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T09:00:00","11.3","18.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T10:00:00","12.5","21.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T11:00:00","13.1","23.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T12:00:00","13.7","25.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T13:00:00","14.1","26.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-12T14:00:00","14.2","27.7"
